id_nb,name,type_1,type_2,link,data_species,data_height,data_weight,data_abilities,training_catch_rate,training_base_exp,training_growth_rate, breeding_gender, breeding_gender,stats_hp,stats_attack,stats_defense, stats_sp_atk,stats_sp_def,    stats_speed,stats_total
#0001,Bulbasaur,Grass,Poison,/pokedex/bulbasaur,Seed Pokémon,0.7,6.9,Overgrow,45,64,Medium Slow,87.5% male, 12.5% female,45,49,49,65,65,45,318
#0002,Ivysaur,Grass,Poison,/pokedex/ivysaur,Seed Pokémon,1,13,Overgrow,45,142,Medium Slow,87.5% male, 12.5% female,60,62,63,80,80,60,405
#0003,Venusaur,Grass,Poison,/pokedex/venusaur,Seed Pokémon,2,100,Overgrow,45,236,Medium Slow,87.5% male, 12.5% female,80,82,83,100,100,80,525
#0004,Charmander,Fire,Nan,/pokedex/charmander,Lizard Pokémon,0.6,8.5,Blaze,45,62,Medium Slow,87.5% male, 12.5% female,39,52,43,60,50,65,309
#0005,Charmeleon,Fire,Nan,/pokedex/charmeleon,Flame Pokémon,1.1,19,Blaze,45,142,Medium Slow,87.5% male, 12.5% female,58,64,58,80,65,80,405
#0006,Charizard,Fire,Flying,/pokedex/charizard,Flame Pokémon,1.7,90.5,Blaze,45,267,Medium Slow,87.5% male, 12.5% female,78,84,78,109,85,100,534
#0007,Squirtle,Water,Nan,/pokedex/squirtle,Tiny Turtle Pokémon,0.5,9,Torrent,45,63,Medium Slow,87.5% male, 12.5% female,44,48,65,50,64,43,314
#0008,Wartortle,Water,Nan,/pokedex/wartortle,Turtle Pokémon,1,22.5,Torrent,45,142,Medium Slow,87.5% male, 12.5% female,59,63,80,65,80,58,405
#0009,Blastoise,Water,Nan,/pokedex/blastoise,Shellfish Pokémon,1.6,85.5,Torrent,45,239,Medium Slow,87.5% male, 12.5% female,79,83,100,85,105,78,530
#0010,Caterpie,Bug,Nan,/pokedex/caterpie,Worm Pokémon,0.3,2.9,Shield Dust,255,39,Medium Fast,50% male, 50% female,45,30,35,20,20,45,195
#0011,Metapod,Bug,Nan,/pokedex/metapod,Cocoon Pokémon,0.7,9.9,Shed Skin,120,72,Medium Fast,50% male, 50% female,50,20,55,25,25,30,205
#0012,Butterfree,Bug,Flying,/pokedex/butterfree,Butterfly Pokémon,1.1,32,Compound Eyes,45,178,Medium Fast,50% male, 50% female,60,45,50,90,80,70,395
#0013,Weedle,Bug,Poison,/pokedex/weedle,Hairy Bug Pokémon,0.3,3.2,Shield Dust,255,39,Medium Fast,50% male, 50% female,40,35,30,20,20,50,195
#0014,Kakuna,Bug,Poison,/pokedex/kakuna,Cocoon Pokémon,0.6,10,Shed Skin,120,72,Medium Fast,50% male, 50% female,45,25,50,25,25,35,205
#0015,Beedrill,Bug,Poison,/pokedex/beedrill,Poison Bee Pokémon,1,29.5,Swarm,45,178,Medium Fast,50% male, 50% female,65,90,40,45,80,75,395
#0016,Pidgey,Normal,Flying,/pokedex/pidgey,Tiny Bird Pokémon,0.3,1.8,Keen Eye,255,50,Medium Slow,50% male, 50% female,40,45,40,35,35,56,251
#0017,Pidgeotto,Normal,Flying,/pokedex/pidgeotto,Bird Pokémon,1.1,30,Keen Eye,120,122,Medium Slow,50% male, 50% female,63,60,55,50,50,71,349
#0018,Pidgeot,Normal,Flying,/pokedex/pidgeot,Bird Pokémon,1.5,39.5,Keen Eye,45,216,Medium Slow,50% male, 50% female,83,80,75,70,70,101,479
#0019,Rattata,Normal,Nan,/pokedex/rattata,Mouse Pokémon,0.3,3.5,Run Away,255,51,Medium Fast,50% male, 50% female,30,56,35,25,35,72,253
